edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_132,1,0_4,0_9,0
0_134,1,0_133,0_10,0
0_135,1,0_133,0_11,0
0_136,1,0_9,0_12,0
0_137,1,0_12,0_30,0
0_140,1,0_9,0_31,0
0_142,1,0_141,0_31,0
0_143,1,0_31,0_32,0
0_144,2,0_37,0_32,0
0_145,2,0_41,0_32,0
0_146,1,0_5,0_34,0
0_148,1,0_147,0_34,0
0_149,1,0_30,0_34,0
0_151,1,0_150,0_35,0
0_152,1,0_34,0_35,0
0_153,2,0_47,0_36,0
0_154,1,0_6,0_38,0
0_155,1,0_147,0_38,0
0_156,1,0_30,0_38,0
0_157,1,0_150,0_39,0
0_158,1,0_38,0_39,0
0_159,2,0_47,0_40,0
0_161,1,0_160,0_42,0
0_162,1,0_7,0_43,0
0_163,1,0_147,0_43,0
0_164,1,0_147,0_43,0
0_165,1,0_133,0_44,0
0_166,1,0_43,0_44,0
0_167,1,0_147,0_45,0
0_168,1,0_42,0_45,0
0_169,2,0_54,0_46,0
0_170,1,0_42,0_48,0
0_171,1,0_48,0_50,0
0_172,1,0_48,0_51,0
0_173,1,0_133,0_51,0
0_174,1,0_50,0_52,0
0_176,1,0_175,0_52,0
0_177,2,0_61,0_53,0
0_178,1,0_147,0_55,0
0_179,2,0_54,0_55,0
0_180,1,0_103,0_55,1
0_181,2,0_105,0_55,1
0_183,1,0_182,0_56,0
0_184,2,0_54,0_56,0
0_185,1,0_59,0_56,1
0_186,2,0_105,0_56,1
0_187,1,0_56,0_57,0
0_189,1,0_188,0_57,0
0_190,1,0_56,0_59,0
0_192,1,0_191,0_59,0
0_193,1,0_57,0_60,0
0_194,2,0_76,0_60,0
0_195,2,0_111,0_60,0
0_196,1,0_56,0_62,0
0_197,1,0_56,0_63,0
0_200,1,0_56,0_65,0
0_201,1,0_141,0_65,0
0_202,1,0_63,0_66,0
0_203,1,0_5,0_67,0
0_204,1,0_147,0_67,0
0_205,1,0_66,0_67,0
0_206,1,0_67,0_68,0
0_207,1,0_6,0_69,0
0_208,1,0_147,0_69,0
0_209,1,0_66,0_69,0
0_210,1,0_69,0_70,0
0_213,1,0_68,0_71,0
0_214,1,0_70,0_71,0
0_215,1,0_65,0_71,0
0_216,1,0_71,0_72,0
0_217,1,0_72,0_73,0
0_218,1,0_73,0_74,0
0_219,1,0_48,0_74,0
0_220,1,0_74,0_75,0
0_221,2,0_105,0_75,0
0_222,2,0_96,0_75,0
0_224,1,0_56,0_77,0
0_226,1,0_225,0_77,0
0_229,1,0_77,0_78,0
0_231,1,0_230,0_78,0
0_232,1,0_62,0_79,0
0_233,1,0_1,0_80,0
0_234,1,0_147,0_80,0
0_235,1,0_79,0_80,0
0_236,1,0_80,0_81,0
0_237,1,0_78,0_82,0
0_238,1,0_81,0_83,0
0_239,1,0_82,0_83,0
0_240,1,0_83,0_84,0
0_241,1,0_2,0_85,0
0_242,1,0_147,0_85,0
0_243,1,0_79,0_85,0
0_244,1,0_85,0_86,0
0_245,1,0_78,0_87,0
0_246,1,0_86,0_88,0
0_247,1,0_87,0_88,0
0_248,1,0_88,0_89,0
0_251,1,0_84,0_90,0
0_252,1,0_89,0_90,0
0_253,1,0_65,0_90,0
0_256,1,0_83,0_91,0
0_258,1,0_257,0_91,0
0_260,1,0_259,0_91,0
0_262,1,0_88,0_92,0
0_263,1,0_257,0_92,0
0_264,1,0_259,0_92,0
0_266,1,0_91,0_93,0
0_267,1,0_92,0_93,0
0_268,1,0_65,0_93,0
0_269,1,0_90,0_94,0
0_270,1,0_93,0_94,0
0_271,1,0_94,0_95,0
0_272,2,0_105,0_95,0
0_273,2,0_102,0_95,0
0_275,1,0_274,0_97,0
0_276,1,0_55,0_97,0
0_277,1,0_90,0_97,0
0_278,1,0_93,0_97,0
0_279,1,0_3,0_97,0
0_280,1,0_5,0_97,0
0_281,1,0_6,0_97,0
0_282,1,0_52,0_97,0
0_283,1,0_11,0_97,0
0_284,1,0_10,0_97,0
0_285,1,0_11,0_98,0
0_286,1,0_10,0_99,0
0_287,1,0_97,0_100,0
0_288,1,0_98,0_100,0
0_289,1,0_99,0_100,0
0_290,2,0_105,0_101,0
0_291,1,0_100,0_103,0
0_292,2,0_102,0_103,0
0_293,1,0_55,0_103,0
0_294,2,0_76,0_103,0
0_295,1,0_55,0_103,0
0_296,2,0_96,0_103,0
0_297,2,0_61,0_104,0
0_298,1,0_51,0_106,0
0_299,1,0_106,0_107,0
0_301,1,0_300,0_107,0
0_302,1,0_51,0_108,0
0_304,1,0_303,0_108,0
0_307,1,0_107,0_109,0
0_309,1,0_308,0_109,0
0_310,1,0_109,0_110,0
0_311,2,0_115,0_110,0
0_312,2,0_119,0_110,0
0_313,1,0_7,0_112,0
0_314,1,0_147,0_112,0
0_315,1,0_108,0_112,0
0_316,1,0_55,0_113,0
0_317,1,0_112,0_113,0
0_318,2,0_124,0_114,0
0_319,1,0_8,0_116,0
0_320,1,0_147,0_116,0
0_321,1,0_108,0_116,0
0_322,1,0_55,0_117,0
0_323,1,0_116,0_117,0
0_324,2,0_124,0_118,0
0_325,1,0_55,0_120,0
0_326,1,0_147,0_120,0
0_327,1,0_51,0_121,0
0_329,1,0_328,0_121,0
0_330,1,0_120,0_122,0
0_331,1,0_121,0_122,0
0_332,1,0_122,0_123,0
0_333,2,0_129,0_123,0
0_334,2,0_127,0_123,0
0_335,1,0_51,0_125,0
0_336,1,0_42,0_125,0
0_337,2,0_54,0_126,0
0_530,2,0_33,0_41,0
0_531,2,0_33,0_37,0
0_532,2,0_37,0_47,0
0_533,2,0_41,0_47,0
0_534,2,0_47,0_54,0
0_535,2,0_54,0_61,0
0_536,2,0_61,0_111,0
0_537,2,0_61,0_76,0
0_538,2,0_76,0_96,0
0_539,2,0_76,0_105,0
0_540,2,0_96,0_102,0
0_541,2,0_96,0_105,0
0_542,2,0_102,0_105,0
0_543,2,0_105,0_61,1
0_544,2,0_111,0_119,0
0_545,2,0_111,0_115,0
0_546,2,0_115,0_124,0
0_547,2,0_119,0_124,0
0_548,2,0_124,0_127,0
0_549,2,0_124,0_129,0
0_550,2,0_127,0_54,1
0_551,4,0_68,0_97,0
0_552,4,0_70,0_97,0
0_553,4,0_97,0_98,0
0_554,4,0_97,0_99,0
0_555,4,0_45,0_48,0
0_556,4,0_45,0_125,0
0_557,4,0_48,0_125,0
1_114,1,1_113,1_10,0
1_115,1,1_113,1_11,0
1_118,1,1_7,1_15,0
1_121,1,1_3,1_16,0
1_123,1,1_2,1_17,0
1_125,1,1_1,1_18,0
1_126,1,1_18,1_19,0
1_127,1,1_11,1_19,0
1_128,1,1_17,1_20,0
1_129,1,1_10,1_20,0
1_130,2,1_27,1_21,0
1_133,1,1_8,1_107,0
1_134,1,1_24,1_107,0
1_135,2,1_112,1_108,0
1_137,1,1_8,1_103,0
1_138,1,1_24,1_103,0
1_140,1,1_9,1_104,0
1_141,1,1_61,1_104,0
1_142,2,1_112,1_105,0
1_143,1,1_10,1_23,0
1_144,1,1_11,1_24,0
1_145,1,1_23,1_25,0
1_146,1,1_16,1_25,0
1_147,1,1_25,1_26,0
1_148,2,1_48,1_26,0
1_149,2,1_109,1_26,0
1_150,1,1_94,1_97,0
1_151,2,1_96,1_97,0
1_152,1,1_61,1_97,0
1_153,2,1_84,1_97,0
1_154,1,1_23,1_98,0
1_156,1,1_155,1_98,0
1_157,1,1_97,1_99,0
1_158,1,1_11,1_99,0
1_159,1,1_98,1_100,0
1_160,1,1_10,1_100,0
1_161,2,1_27,1_101,0
1_164,1,1_62,1_67,0
1_166,1,1_165,1_67,0
1_167,1,1_63,1_68,0
1_168,1,1_4,1_69,0
1_170,1,1_169,1_69,0
1_171,1,1_68,1_69,0
1_172,1,1_69,1_70,0
1_175,1,1_67,1_71,0
1_177,1,1_176,1_71,0
1_178,1,1_71,1_72,0
1_179,1,1_70,1_73,0
1_180,1,1_72,1_73,0
1_181,1,1_73,1_74,0
1_184,1,1_73,1_75,0
1_186,1,1_185,1_75,0
1_188,1,1_187,1_75,0
1_189,1,1_74,1_76,0
1_190,1,1_5,1_77,0
1_191,1,1_169,1_77,0
1_192,1,1_76,1_77,0
1_193,1,1_77,1_78,0
1_194,1,1_6,1_79,0
1_195,1,1_169,1_79,0
1_196,1,1_76,1_79,0
1_197,1,1_79,1_80,0
1_200,1,1_78,1_81,0
1_201,1,1_80,1_81,0
1_202,1,1_75,1_81,0
1_203,1,1_81,1_82,0
1_205,1,1_204,1_82,0
1_206,1,1_82,1_83,0
1_207,2,1_102,1_83,0
1_208,2,1_87,1_83,0
1_209,1,1_58,1_61,0
1_210,2,1_60,1_61,0
1_211,1,1_24,1_61,0
1_212,2,1_48,1_61,0
1_213,1,1_23,1_62,0
1_215,1,1_214,1_62,0
1_216,1,1_28,1_63,0
1_218,1,1_217,1_63,0
1_219,1,1_62,1_64,0
1_220,1,1_16,1_64,0
1_221,1,1_64,1_65,0
1_222,2,1_84,1_65,0
1_223,2,1_106,1_65,0
1_224,1,1_23,1_28,0
1_226,1,1_23,1_31,0
1_227,1,1_165,1_31,0
1_228,1,1_28,1_32,0
1_229,1,1_4,1_33,0
1_230,1,1_169,1_33,0
1_231,1,1_32,1_33,0
1_232,1,1_33,1_34,0
1_234,1,1_31,1_35,0
1_235,1,1_176,1_35,0
1_236,1,1_35,1_36,0
1_237,1,1_34,1_37,0
1_238,1,1_36,1_37,0
1_239,1,1_37,1_38,0
1_241,1,1_37,1_39,0
1_242,1,1_185,1_39,0
1_243,1,1_187,1_39,0
1_244,1,1_38,1_40,0
1_245,1,1_5,1_41,0
1_246,1,1_169,1_41,0
1_247,1,1_40,1_41,0
1_248,1,1_41,1_42,0
1_249,1,1_6,1_43,0
1_250,1,1_169,1_43,0
1_251,1,1_40,1_43,0
1_252,1,1_43,1_44,0
1_254,1,1_42,1_45,0
1_255,1,1_44,1_45,0
1_256,1,1_39,1_45,0
1_257,1,1_45,1_46,0
1_258,1,1_204,1_46,0
1_259,1,1_46,1_47,0
1_260,2,1_66,1_47,0
1_261,2,1_51,1_47,0
1_262,1,1_24,1_58,0
1_263,1,1_214,1_58,0
1_264,2,1_66,1_59,0
1_265,1,1_15,1_52,0
1_266,1,1_41,1_52,0
1_267,2,1_60,1_53,0
1_270,1,1_37,1_49,0
1_271,1,1_185,1_49,0
1_272,1,1_49,1_50,0
1_273,2,1_54,1_50,0
1_274,2,1_57,1_50,0
1_275,1,1_15,1_55,0
1_276,1,1_43,1_55,0
1_277,2,1_60,1_56,0
1_278,1,1_61,1_94,0
1_279,1,1_214,1_94,0
1_280,2,1_102,1_95,0
1_281,1,1_15,1_88,0
1_282,1,1_77,1_88,0
1_283,2,1_96,1_89,0
1_285,1,1_73,1_85,0
1_286,1,1_185,1_85,0
1_287,1,1_85,1_86,0
1_288,2,1_90,1_86,0
1_289,2,1_93,1_86,0
1_290,1,1_15,1_91,0
1_291,1,1_79,1_91,0
1_292,2,1_96,1_92,0
1_294,1,1_293,1_110,0
1_295,2,1_109,1_110,0
1_297,1,1_296,1_110,0
1_298,2,1_106,1_110,0
1_299,1,1_110,1_111,0
1_373,2,1_22,1_27,0
1_374,2,1_27,1_109,0
1_375,2,1_27,1_48,0
1_376,2,1_48,1_51,0
1_377,2,1_48,1_66,0
1_378,2,1_51,1_57,0
1_379,2,1_51,1_54,0
1_380,2,1_54,1_60,0
1_381,2,1_57,1_60,0
1_382,2,1_60,1_66,0
1_383,2,1_66,1_106,0
1_384,2,1_66,1_84,0
1_385,2,1_84,1_87,0
1_386,2,1_84,1_102,0
1_387,2,1_87,1_93,0
1_388,2,1_87,1_90,0
1_389,2,1_90,1_96,0
1_390,2,1_93,1_96,0
1_391,2,1_96,1_102,0
1_392,2,1_102,1_27,1
1_393,2,1_106,1_112,0
1_394,2,1_109,1_112,0
1_395,4,1_44,1_55,0
1_396,4,1_42,1_52,0
1_397,4,1_44,1_91,0
1_398,4,1_42,1_88,0
1_399,4,1_52,1_78,0
1_400,4,1_52,1_88,0
1_401,4,1_55,1_80,0
1_402,4,1_55,1_91,0
1_403,4,1_80,1_91,0
1_404,4,1_78,1_88,0
1_405,4,1_19,1_24,0
1_406,4,1_20,1_23,0
1_407,4,1_19,1_99,0
1_408,4,1_20,1_100,0
1_409,4,1_23,1_100,0
1_410,4,1_24,1_99,0
1_2147483647,1,1_88,1_42,1
