rtl_name,lut,ff,dsp,bram,uram
grp_bfs_Pipeline_loop_neighbors1_fu_310,501,413,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_295,501,413,0,0,0
mul_3ns_5ns_7_1_1_U21,17,0,0,0,0
mul_64ns_66ns_68_2_1_U23,179,361,6,0,0
mux_21_64_1_1_U17,9,0,0,0,0
mux_21_64_1_1_U19,9,0,0,0,0
mux_21_64_1_1_U20,9,0,0,0,0
urem_3ns_3ns_3_7_seq_1_U22,19,45,0,0,0
urem_64ns_4ns_3_68_seq_1_U18,469,779,0,0,0
add_ln21_fu_396_p2,71,0,0,0,0
and_ln39_1_fu_680_p2,128,0,0,0,0
and_ln39_2_fu_642_p2,128,0,0,0,0
and_ln39_fu_714_p2,2,0,0,0,0
empty_fu_402_p2,15,0,0,0,0
icmp_ln21_fu_709_p2,29,0,0,0,0
icmp_ln25_1_fu_514_p2,29,0,0,0,0
icmp_ln25_fu_442_p2,29,0,0,0,0
icmp_ln28_2_fu_544_p2,29,0,0,0,0
icmp_ln28_fu_472_p2,29,0,0,0,0
icmp_ln39_fu_703_p2,29,0,0,0,0
level_counts_1_d0,128,0,0,0,0
n_1_fu_491_p2,8,0,0,0,0
n_2_fu_563_p2,16,0,0,0,0
or_ln16_fu_501_p2,7,0,0,0,0
or_ln39_1_fu_658_p2,128,0,0,0,0
select_ln28_1_fu_556_p3,64,0,0,0,0
select_ln28_fu_484_p3,64,0,0,0,0
shl_ln39_1_fu_690_p2,423,0,0,0,0
shl_ln39_2_fu_630_p2,423,0,0,0,0
shl_ln39_3_fu_652_p2,423,0,0,0,0
shl_ln39_fu_668_p2,423,0,0,0,0
xor_ln39_1_fu_636_p2,128,0,0,0,0
xor_ln39_fu_674_p2,128,0,0,0,0
ap_NS_fsm_mux,429,0,0,0,0
cnt_1_reg_266_mux,9,0,0,0,0
cnt_2_reg_280_mux,13,0,0,0,0
cnt_reg_242_mux,9,0,0,0,0
edges_address0_mux,13,0,0,0,0
edges_address1_mux,13,0,0,0,0
edges_ce0_mux,13,0,0,0,0
edges_ce1_mux,13,0,0,0,0
horizon_fu_108_mux,9,0,0,0,0
level_address0_mux,25,0,0,0,0
level_ce0_mux,17,0,0,0,0
level_counts_0_address0_mux,21,0,0,0,0
level_counts_0_d0_mux,13,0,0,0,0
level_counts_1_address0_mux,13,0,0,0,0
level_d0_mux,17,0,0,0,0
level_we0_mux,17,0,0,0,0
n_reg_254_mux,9,0,0,0,0
nodes_0_address0_mux,13,0,0,0,0
nodes_1_address0_mux,13,0,0,0,0
add_ln21_reg_763,0,64,0,0,0
ap_CS_fsm,0,87,0,0,0
cnt_1_0_loc_fu_124,0,64,0,0,0
cnt_1_reg_266,0,64,0,0,0
cnt_2_0_loc_fu_120,0,64,0,0,0
cnt_2_reg_280,0,64,0,0,0
cnt_5_0_loc_fu_116,0,64,0,0,0
cnt_8_0_loc_fu_112,0,64,0,0,0
cnt_reg_242,0,64,0,0,0
empty_reg_771,0,8,0,0,0
grp_bfs_Pipeline_loop_neighbors1_fu_310_ap_start_reg,0,1,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_295_ap_start_reg,0,1,0,0,0
horizon_fu_108,0,64,0,0,0
icmp_ln25_1_reg_833,0,1,0,0,0
icmp_ln25_reg_795,0,1,0,0,0
icmp_ln28_2_reg_852,0,1,0,0,0
icmp_ln28_reg_814,0,1,0,0,0
level_counts_0_addr_1_reg_896,0,2,0,0,0
level_counts_1_addr_reg_901,0,2,0,0,0
n_2_reg_866,0,9,0,0,0
n_reg_254,0,9,0,0,0
reg_365,0,64,0,0,0
shl_ln_reg_886,0,1,0,0,0
targetBlock5_reg_856,0,1,0,0,0
targetBlock_reg_818,0,1,0,0,0
tmp_2_reg_876,0,1,0,0,0
tmp_3_reg_892,0,1,0,0,0
tmp_begin_1_reg_847,0,64,0,0,0
tmp_begin_reg_809,0,64,0,0,0
trunc_ln24_1_reg_790,0,7,0,0,0
trunc_ln24_reg_785,0,8,0,0,0
add_ln28_1_fu_244_p2,71,0,0,0,0
add_ln28_fu_213_p2,71,0,0,0,0
add_ln29_fu_224_p2,19,0,0,0,0
add_ln34_1_fu_254_p2,71,0,0,0,0
add_ln34_fu_238_p2,71,0,0,0,0
ap_condition_127,2,0,0,0,0
ap_enable_pp0,2,0,0,0,0
ap_enable_reg_pp0_iter1,2,0,0,0,0
ap_predicate_tran5to7_state5,2,0,0,0,0
grp_fu_180_p2,11,0,0,0,0
icmp_ln28_1_fu_199_p2,29,0,0,0,0
icmp_ln28_fu_219_p2,29,0,0,0,0
ap_enable_reg_pp0_iter1_mux,13,0,0,0,0
ap_phi_mux_UnifiedRetVal_phi_fu_172_p4_mux,9,0,0,0,0
ap_phi_mux_cnt_2_1_phi_fu_161_p4_mux,13,0,0,0,0
ap_phi_reg_pp0_iter0_cnt_2_0_reg_147_mux,9,0,0,0,0
ap_return_mux,9,0,0,0,0
cnt_1_0_fu_58_mux,9,0,0,0,0
e_1_0_fu_54_mux,9,0,0,0,0
UnifiedRetVal_reg_168,0,1,0,0,0
ap_enable_reg_pp0_iter0,0,1,0,0,0
ap_phi_reg_pp0_iter0_cnt_2_0_reg_147,0,64,0,0,0
ap_return_preg,0,1,0,0,0
cnt_1_0_fu_58,0,64,0,0,0
cnt_1_0_load_reg_324,0,64,0,0,0
cnt_2_0_reg_147,0,64,0,0,0
e_1_0_fu_54,0,64,0,0,0
e_1_0_load_reg_291,0,64,0,0,0
icmp_ln28_1_reg_296,0,1,0,0,0
icmp_ln28_reg_305,0,1,0,0,0
level_addr_2_reg_319,0,8,0,0,0
level_addr_reg_314,0,8,0,0,0
icmp_ln28_1_fu_219_p2,29,0,0,0,0
icmp_ln28_fu_199_p2,29,0,0,0,0
ap_phi_mux_cnt_8_1_phi_fu_161_p4_mux,13,0,0,0,0
ap_phi_reg_pp0_iter0_cnt_8_0_reg_147_mux,9,0,0,0,0
cnt_5_0_fu_58_mux,9,0,0,0,0
e_4_0_fu_54_mux,9,0,0,0,0
ap_phi_reg_pp0_iter0_cnt_8_0_reg_147,0,64,0,0,0
cnt_5_0_fu_58,0,64,0,0,0
cnt_5_0_load_reg_324,0,64,0,0,0
cnt_8_0_reg_147,0,64,0,0,0
e_4_0_fu_54,0,64,0,0,0
e_4_0_load_reg_291,0,64,0,0,0
icmp_ln28_1_reg_305,0,1,0,0,0
icmp_ln28_reg_296,0,1,0,0,0
level_addr_1_reg_319,0,8,0,0,0
