node_id,node_name,node_type,line_num,rtl_name,op_type,core_name,bitwidth,opcode,m_delay,topo_index,oprand_edges
0_23,starting_node_read,0,10,not_exist,not_exist,not_exist,64,read,0.00,1,"['260', '261']"
0_24,tmp,0,18,tmp_reg_1118,not_exist,not_exist,1,bitselect,0.00,2,"['263', '264', '266']"
0_25,tmp_1,0,18,tmp_1_reg_1123,not_exist,not_exist,1,bitselect,0.00,3,"['267', '268', '269']"
0_26,trunc_ln18,0,18,trunc_ln18_fu_420_p1,not_exist,not_exist,1,trunc,0.00,4,['270']
0_27,trunc_ln18_2,0,18,trunc_ln18_2_fu_424_p4,not_exist,not_exist,6,partselect,0.00,5,"['272', '273', '275', '277']"
0_28,zext_ln18,0,18,zext_ln18_fu_434_p1,not_exist,not_exist,64,zext,0.00,6,['278']
0_29,br_ln18,0,18,not_exist,not_exist,not_exist,0,br,0.00,7,"['279', '280', '281']"
0_31,level_0_addr,0,18,not_exist,not_exist,not_exist,6,getelementptr,0.00,8,"['282', '284', '285']"
0_32,level_0_load,0,18,not_exist,ram,RAM,16,load,2.26,9,['286']
0_33,tmp_3,0,18,tmp_3_fu_440_p3,not_exist,not_exist,4,bitconcatenate,0.00,12,"['288', '289', '291']"
0_34,zext_ln18_2,0,18,zext_ln18_2_fu_447_p1,not_exist,not_exist,16,zext,0.00,13,['292']
0_35,shl_ln18_1,0,18,shl_ln18_1_fu_451_p2,shl,Shifter,16,shl,0.00,14,"['294', '295']"
0_36,xor_ln18_1,0,18,xor_ln18_1_fu_457_p2,xor,LogicGate,16,xor,0.00,15,"['296', '298']"
0_37,and_ln18_1,0,18,and_ln18_1_fu_463_p2,and,LogicGate,16,and,1.67,16,"['299', '300']"
0_38,level_0_addr_write_ln18,0,18,not_exist,ram,RAM,0,store,2.26,17,"['301', '302', '934']"
0_39,br_ln18,0,18,not_exist,not_exist,not_exist,0,br,0.00,18,['303']
0_41,level_1_addr,0,18,not_exist,not_exist,not_exist,6,getelementptr,0.00,10,"['304', '305', '306']"
0_42,level_1_load,0,18,not_exist,ram,RAM,16,load,2.26,11,['307']
0_43,tmp_2,0,18,tmp_2_fu_470_p3,not_exist,not_exist,4,bitconcatenate,0.00,19,"['308', '309', '310']"
