node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,const_type,content
0_55,empty,2,0,not_exist,not_exist,32,0,1
0_86,empty,2,0,not_exist,not_exist,64,0,1
0_95,empty,2,0,not_exist,not_exist,6,0,0
0_101,empty,2,0,not_exist,not_exist,32,0,11
0_105,empty,2,0,not_exist,not_exist,64,0,0
0_118,empty,2,0,not_exist,not_exist,8,0,127
1_202,empty,2,0,not_exist,not_exist,32,0,1
1_207,empty,2,0,not_exist,not_exist,64,0,1
1_213,empty,2,0,not_exist,not_exist,64,0,0
1_216,empty,2,0,not_exist,not_exist,8,0,0
1_227,empty,2,0,not_exist,not_exist,32,0,0
1_229,empty,2,0,not_exist,not_exist,32,0,63
1_233,empty,2,0,not_exist,not_exist,4,0,0
1_239,empty,2,0,not_exist,not_exist,4,0,10
1_246,empty,2,0,not_exist,not_exist,4,0,1
1_254,empty,2,0,not_exist,not_exist,9,0,0
1_262,empty,2,0,not_exist,not_exist,32,0,8
1_282,empty,2,0,not_exist,not_exist,32,0,7
1_293,empty,2,0,not_exist,not_exist,32,0,64
1_295,empty,2,0,not_exist,not_exist,32,0,127
1_302,bfs_Pipeline_loop_neighbors,2,0,not_exist,not_exist,0,6,<constant bfs_Pipeline_loop_neighbors>
1_320,empty,2,0,not_exist,not_exist,8,0,1
1_336,empty,2,0,not_exist,not_exist,32,0,3
1_340,empty,2,0,not_exist,not_exist,7,0,11
1_345,empty,2,0,not_exist,not_exist,32,0,5
1_350,empty,2,0,not_exist,not_exist,6,0,0
1_353,empty,2,0,not_exist,not_exist,3,0,3
1_361,empty,2,0,not_exist,not_exist,128,0,18446744073709551615
1_365,empty,2,0,not_exist,not_exist,128,0,340282366920938463463374607431768211455
1_383,empty,2,0,not_exist,not_exist,4,0,2
1_431,bfs_Pipeline_loop_neighbors2,2,0,not_exist,not_exist,0,6,<constant bfs_Pipeline_loop_neighbors2>
1_461,empty,2,0,not_exist,not_exist,3,0,1
1_512,empty,2,0,not_exist,not_exist,32,0,128
1_514,empty,2,0,not_exist,not_exist,32,0,191
1_518,empty,2,0,not_exist,not_exist,32,0,192
1_520,empty,2,0,not_exist,not_exist,32,0,255
1_527,bfs_Pipeline_loop_neighbors1,2,0,not_exist,not_exist,0,6,<constant bfs_Pipeline_loop_neighbors1>
1_545,empty,2,0,not_exist,not_exist,9,0,2
1_570,bfs_Pipeline_loop_neighbors3,2,0,not_exist,not_exist,0,6,<constant bfs_Pipeline_loop_neighbors3>
2_55,empty,2,0,not_exist,not_exist,32,0,1
2_86,empty,2,0,not_exist,not_exist,64,0,1
2_95,empty,2,0,not_exist,not_exist,6,0,0
2_101,empty,2,0,not_exist,not_exist,32,0,11
2_105,empty,2,0,not_exist,not_exist,64,0,0
2_118,empty,2,0,not_exist,not_exist,8,0,127
3_55,empty,2,0,not_exist,not_exist,32,0,1
3_86,empty,2,0,not_exist,not_exist,64,0,1
3_95,empty,2,0,not_exist,not_exist,6,0,0
3_101,empty,2,0,not_exist,not_exist,32,0,11
3_105,empty,2,0,not_exist,not_exist,64,0,0
3_118,empty,2,0,not_exist,not_exist,8,0,127
4_55,empty,2,0,not_exist,not_exist,32,0,1
4_86,empty,2,0,not_exist,not_exist,64,0,1
4_95,empty,2,0,not_exist,not_exist,6,0,0
4_101,empty,2,0,not_exist,not_exist,32,0,11
4_105,empty,2,0,not_exist,not_exist,64,0,0
4_118,empty,2,0,not_exist,not_exist,8,0,127
