rtl_name,lut,ff,dsp,bram,uram
mux_253_64_1_1_U1,9,0,0,0,0
add_ln21_fu_327_p2,71,0,0,0,0
and_ln18_fu_313_p2,16,0,0,0,0
and_ln33_fu_548_p2,16,0,0,0,0
cnt_4_fu_570_p2,71,0,0,0,0
e_2_fu_577_p2,71,0,0,0,0
empty_fu_333_p2,15,0,0,0,0
icmp_ln24_fu_339_p2,11,0,0,0,0
icmp_ln25_fu_409_p2,29,0,0,0,0
icmp_ln28_1_fu_451_p2,29,0,0,0,0
icmp_ln28_fu_445_p2,29,0,0,0,0
icmp_ln32_fu_526_p2,11,0,0,0,0
icmp_ln39_fu_370_p2,29,0,0,0,0
lshr_ln25_fu_391_p2,35,0,0,0,0
lshr_ln26_fu_425_p2,950,0,0,0,0
lshr_ln30_fu_516_p2,35,0,0,0,0
n_1_fu_345_p2,16,0,0,0,0
or_ln33_fu_563_p2,16,0,0,0,0
shl_ln18_fu_301_p2,35,0,0,0,0
shl_ln33_1_fu_557_p2,35,0,0,0,0
shl_ln33_fu_536_p2,35,0,0,0,0
xor_ln18_fu_307_p2,16,0,0,0,0
xor_ln33_fu_542_p2,16,0,0,0,0
ap_NS_fsm_mux,45,0,0,0,0
ap_phi_mux_cnt_2_phi_fu_242_p4_mux,13,0,0,0,0
cnt_1_reg_217_mux,9,0,0,0,0
cnt_3_reg_250_mux,9,0,0,0,0
cnt_reg_193_mux,9,0,0,0,0
e_1_reg_228_mux,9,0,0,0,0
horizon_fu_92_mux,9,0,0,0,0
level_address0_mux,25,0,0,0,0
level_counts_address0_mux,13,0,0,0,0
level_counts_d0_mux,13,0,0,0,0
level_d0_mux,13,0,0,0,0
n_reg_206_mux,9,0,0,0,0
add_ln21_reg_605,0,64,0,0,0
ap_CS_fsm,0,10,0,0,0
cnt_1_reg_217,0,64,0,0,0
cnt_3_reg_250,0,64,0,0,0
cnt_reg_193,0,64,0,0,0
e_1_reg_228,0,64,0,0,0
empty_reg_611,0,8,0,0,0
horizon_1_reg_600,0,64,0,0,0
horizon_fu_92,0,64,0,0,0
level_addr_2_reg_682,0,7,0,0,0
level_addr_reg_595,0,7,0,0,0
n_1_reg_619,0,9,0,0,0
n_reg_206,0,9,0,0,0
tmp_end_reg_656,0,64,0,0,0
trunc_ln25_reg_624,0,1,0,0,0
trunc_ln30_reg_677,0,1,0,0,0
zext_ln25_reg_630,0,7,0,0,0
