rtl_name,lut,ff,dsp,bram,uram
grp_bfs_Pipeline_loop_neighbors1_fu_328,1150,465,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_310,1150,465,0,0,0
mux_21_8_1_1_U25,9,0,0,0,0
mux_21_8_1_1_U26,9,0,0,0,0
add_ln21_fu_457_p2,13,0,0,0,0
add_ln39_fu_528_p2,14,0,0,0,0
conv20_fu_402_p2,4,0,0,0,0
icmp_ln21_fu_392_p2,9,0,0,0,0
icmp_ln24_1_fu_500_p2,11,0,0,0,0
icmp_ln24_fu_412_p2,11,0,0,0,0
icmp_ln25_1_fu_577_p2,11,0,0,0,0
icmp_ln25_fu_481_p2,11,0,0,0,0
icmp_ln28_1_fu_587_p2,29,0,0,0,0
icmp_ln28_fu_491_p2,29,0,0,0,0
icmp_ln39_1_fu_548_p2,29,0,0,0,0
icmp_ln39_fu_451_p2,29,0,0,0,0
n_2_fu_418_p2,16,0,0,0,0
n_3_fu_506_p2,16,0,0,0,0
ap_NS_fsm_mux,57,0,0,0,0
ap_phi_mux_cnt_5_phi_fu_299_p6_mux,9,0,0,0,0
cnt_1_reg_270_mux,9,0,0,0,0
cnt_3_reg_255_mux,9,0,0,0,0
cnt_5_reg_295_mux,9,0,0,0,0
cnt_reg_230_mux,9,0,0,0,0
edges_0_address0_mux,13,0,0,0,0
edges_0_ce0_mux,13,0,0,0,0
edges_1_address0_mux,13,0,0,0,0
edges_1_ce0_mux,13,0,0,0,0
horizon_fu_108_mux,9,0,0,0,0
level_0_address0_mux,25,0,0,0,0
level_0_ce0_mux,17,0,0,0,0
level_0_d0_mux,17,0,0,0,0
level_0_we0_mux,17,0,0,0,0
level_1_address0_mux,25,0,0,0,0
level_1_ce0_mux,17,0,0,0,0
level_1_d0_mux,17,0,0,0,0
level_1_we0_mux,17,0,0,0,0
level_counts_address0_mux,17,0,0,0,0
level_counts_d0_mux,17,0,0,0,0
n_1_reg_283_mux,9,0,0,0,0
n_reg_243_mux,9,0,0,0,0
nodes_address0_mux,13,0,0,0,0
add_ln21_reg_670,0,4,0,0,0
ap_CS_fsm,0,13,0,0,0
cnt_1_reg_270,0,64,0,0,0
cnt_3_reg_255,0,64,0,0,0
cnt_5_reg_295,0,64,0,0,0
cnt_reg_230,0,64,0,0,0
conv20_reg_631,0,3,0,0,0
grp_bfs_Pipeline_loop_neighbors1_fu_328_ap_start_reg,0,1,0,0,0
grp_bfs_Pipeline_loop_neighbors_fu_310_ap_start_reg,0,1,0,0,0
horizon_fu_108,0,4,0,0,0
icmp_ln21_reg_622,0,1,0,0,0
icmp_ln25_1_reg_716,0,1,0,0,0
icmp_ln28_1_reg_730,0,1,0,0,0
icmp_ln39_reg_666,0,1,0,0,0
n_1_reg_283,0,9,0,0,0
n_2_reg_646,0,9,0,0,0
n_3_reg_698,0,9,0,0,0
n_reg_243,0,9,0,0,0
reg_358,0,64,0,0,0
shl_ln_reg_661,0,3,0,0,0
tmp_begin_1_reg_725,0,64,0,0,0
tmp_begin_reg_684,0,64,0,0,0
zext_ln21_reg_626,0,4,0,0,0
zext_ln24_reg_638,0,3,0,0,0
flow_control_loop_pipe_sequential_init_U,0,0,0,0,0
mux_21_8_1_1_U2,9,0,0,0,0
mux_253_64_1_1_U1,9,0,0,0,0
ap_enable_pp0,2,0,0,0,0
cnt_4_fu_299_p2,71,0,0,0,0
e_3_fu_231_p2,71,0,0,0,0
icmp_ln28_fu_178_p2,29,0,0,0,0
icmp_ln32_fu_290_p2,11,0,0,0,0
lshr_ln29_2_fu_244_p2,423,0,0,0,0
lshr_ln29_fu_221_p2,423,0,0,0,0
ap_done_int_mux,9,0,0,0,0
ap_enable_reg_pp0_iter0_mux,9,0,0,0,0
ap_enable_reg_pp0_iter1_mux,9,0,0,0,0
ap_enable_reg_pp0_iter2_mux,9,0,0,0,0
ap_loop_exit_ready_pp0_iter1_reg_mux,9,0,0,0,0
cnt_3_fu_74_mux,9,0,0,0,0
e_1_fu_70_mux,9,0,0,0,0
and_ln_reg_366,0,1,0,0,0
ap_done_reg,0,1,0,0,0
ap_enable_reg_pp0_iter0_reg,0,1,0,0,0
ap_enable_reg_pp0_iter1,0,1,0,0,0
ap_enable_reg_pp0_iter2,0,1,0,0,0
ap_loop_exit_ready_pp0_iter1_reg,0,1,0,0,0
cnt_3_fu_74,0,64,0,0,0
e_1_fu_70,0,64,0,0,0
e_reg_340,0,64,0,0,0
edges_1_load_reg_376,0,128,0,0,0
icmp_ln28_reg_347,0,1,0,0,0
level_0_addr_reg_386,0,7,0,0,0
level_1_addr_reg_391,0,7,0,0,0
lshr_ln3_reg_361,0,53,0,0,0
trunc_ln29_4_reg_381,0,1,0,0,0
trunc_ln29_reg_371,0,64,0,0,0
zext_ln24_cast_reg_334,0,4,0,0,0
mux_21_8_1_1_U15,9,0,0,0,0
mux_253_64_1_1_U14,9,0,0,0,0
cnt_2_fu_299_p2,71,0,0,0,0
e_2_fu_231_p2,71,0,0,0,0
lshr_ln29_1_fu_244_p2,423,0,0,0,0
cnt_fu_74_mux,9,0,0,0,0
e_fu_70_mux,9,0,0,0,0
and_ln29_1_reg_366,0,1,0,0,0
cnt_fu_74,0,64,0,0,0
e_1_reg_340,0,64,0,0,0
e_fu_70,0,64,0,0,0
lshr_ln29_2_reg_361,0,53,0,0,0
trunc_ln29_2_reg_381,0,1,0,0,0
zext_ln24_2_cast_reg_334,0,4,0,0,0
