node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,nodes,1,0,not_exist,not_exist,256,0,1,128
0_2,edges_0,1,0,not_exist,not_exist,128,0,1,1024
0_3,edges_1,1,0,not_exist,not_exist,128,0,1,1024
0_4,starting_node,1,0,not_exist,not_exist,64,0,0,0
0_5,level_0,1,0,not_exist,not_exist,8,2,1,128
0_6,level_1,1,0,not_exist,not_exist,8,2,1,128
0_7,level_counts,1,0,not_exist,not_exist,128,2,1,5
1_1,cnt,1,0,not_exist,not_exist,64,0,0,0
1_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
1_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
1_4,edges_0,1,0,not_exist,not_exist,128,0,1,1024
1_5,edges_1,1,0,not_exist,not_exist,128,0,1,1024
1_6,level_0,1,0,not_exist,not_exist,8,2,1,128
1_7,level_1,1,0,not_exist,not_exist,8,2,1,128
1_8,empty,1,0,not_exist,not_exist,8,0,0,0
1_9,cnt_1_0_out,1,0,not_exist,not_exist,64,1,0,0
1_10,cnt_2_0_out,1,0,not_exist,not_exist,64,1,0,0
2_1,cnt_1,1,0,not_exist,not_exist,64,0,0,0
2_2,tmp_begin_1,1,0,not_exist,not_exist,64,0,0,0
2_3,tmp_end_1,1,0,not_exist,not_exist,64,0,0,0
2_4,edges_0,1,0,not_exist,not_exist,128,0,1,1024
2_5,edges_1,1,0,not_exist,not_exist,128,0,1,1024
2_6,level_0,1,0,not_exist,not_exist,8,2,1,128
2_7,level_1,1,0,not_exist,not_exist,8,2,1,128
2_8,empty,1,0,not_exist,not_exist,8,0,0,0
2_9,cnt_5_0_out,1,0,not_exist,not_exist,64,1,0,0
2_10,cnt_8_0_out,1,0,not_exist,not_exist,64,1,0,0
