node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,nodes,1,0,not_exist,not_exist,256,0,1,128
0_2,edges,1,0,not_exist,not_exist,128,0,1,2048
0_3,starting_node,1,0,not_exist,not_exist,64,0,0,0
0_4,level_0,1,0,not_exist,not_exist,16,2,1,64
0_5,level_1,1,0,not_exist,not_exist,16,2,1,64
0_6,level_counts_0,1,0,not_exist,not_exist,128,2,1,3
0_7,level_counts_1,1,0,not_exist,not_exist,128,2,1,3
1_1,cnt,1,0,not_exist,not_exist,64,0,0,0
1_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
1_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
1_4,edges,1,0,not_exist,not_exist,128,0,1,2048
1_5,level_0,1,0,not_exist,not_exist,16,2,1,64
1_6,level_1,1,0,not_exist,not_exist,16,2,1,64
1_7,empty,1,0,not_exist,not_exist,8,0,0,0
1_8,cnt_1_out,1,0,not_exist,not_exist,64,1,0,0
