node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,cnt_1,1,0,not_exist,not_exist,64,0,0,0
0_2,tmp_begin_1,1,0,not_exist,not_exist,64,0,0,0
0_3,tmp_end_1,1,0,not_exist,not_exist,64,0,0,0
0_4,edges_0,1,0,not_exist,not_exist,64,0,1,2048
0_5,edges_1,1,0,not_exist,not_exist,64,0,1,2048
0_6,level,1,0,not_exist,not_exist,16,2,1,128
0_7,zext_ln24_2,1,0,not_exist,not_exist,4,0,0,0
0_8,cnt_6_0_out,1,0,not_exist,not_exist,64,1,0,0
0_9,cnt_9_0_out,1,0,not_exist,not_exist,64,1,0,0
1_1,nodes,1,0,not_exist,not_exist,128,0,1,256
1_2,edges_0,1,0,not_exist,not_exist,64,0,1,2048
1_3,edges_1,1,0,not_exist,not_exist,64,0,1,2048
1_4,starting_node,1,0,not_exist,not_exist,64,0,0,0
1_5,level,1,0,not_exist,not_exist,16,2,1,128
1_6,level_counts,1,0,not_exist,not_exist,64,1,1,10
2_1,cnt,1,0,not_exist,not_exist,64,0,0,0
2_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
2_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
2_4,edges_0,1,0,not_exist,not_exist,64,0,1,2048
2_5,edges_1,1,0,not_exist,not_exist,64,0,1,2048
2_6,level,1,0,not_exist,not_exist,16,2,1,128
2_7,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
2_8,cnt_4_0_out,1,0,not_exist,not_exist,64,1,0,0
2_9,cnt_2_0_out,1,0,not_exist,not_exist,64,1,0,0
3_1,cnt_2,1,0,not_exist,not_exist,64,0,0,0
3_2,tmp_begin_2,1,0,not_exist,not_exist,64,0,0,0
3_3,tmp_end_2,1,0,not_exist,not_exist,64,0,0,0
3_4,edges_0,1,0,not_exist,not_exist,64,0,1,2048
3_5,edges_1,1,0,not_exist,not_exist,64,0,1,2048
3_6,level,1,0,not_exist,not_exist,16,2,1,128
3_7,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
3_8,cnt_10_0_out,1,0,not_exist,not_exist,64,1,0,0
3_9,cnt_13_0_out,1,0,not_exist,not_exist,64,1,0,0
4_1,cnt_3,1,0,not_exist,not_exist,64,0,0,0
4_2,tmp_begin_3,1,0,not_exist,not_exist,64,0,0,0
4_3,tmp_end_3,1,0,not_exist,not_exist,64,0,0,0
4_4,edges_0,1,0,not_exist,not_exist,64,0,1,2048
4_5,edges_1,1,0,not_exist,not_exist,64,0,1,2048
4_6,level,1,0,not_exist,not_exist,16,2,1,128
4_7,zext_ln24_2,1,0,not_exist,not_exist,4,0,0,0
4_8,cnt_14_0_out,1,0,not_exist,not_exist,64,1,0,0
4_9,cnt_17_0_out,1,0,not_exist,not_exist,64,1,0,0
