edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_167,1,0_166,0_8,0
0_170,1,0_4,0_9,0
0_172,1,0_171,0_10,0
0_173,1,0_171,0_11,0
0_174,1,0_171,0_12,0
0_175,1,0_171,0_13,0
0_176,1,0_9,0_29,0
0_179,1,0_29,0_30,0
0_181,1,0_180,0_30,0
0_184,1,0_9,0_31,0
0_185,1,0_166,0_31,0
0_187,1,0_186,0_31,0
0_188,1,0_31,0_32,0
0_189,1,0_5,0_33,0
0_191,1,0_190,0_33,0
0_192,1,0_32,0_33,0
0_193,1,0_33,0_34,0
0_194,1,0_30,0_35,0
0_196,1,0_195,0_36,0
0_197,1,0_35,0_36,0
0_198,1,0_36,0_37,0
0_200,1,0_199,0_37,0
0_201,1,0_34,0_38,0
0_202,1,0_37,0_38,0
0_203,1,0_38,0_39,0
0_204,1,0_33,0_39,0
0_205,1,0_6,0_40,0
0_206,1,0_190,0_40,0
0_207,1,0_190,0_40,0
0_208,1,0_40,0_41,0
0_211,1,0_41,0_42,0
0_212,1,0_171,0_42,0
0_214,1,0_213,0_42,0
0_216,1,0_215,0_42,0
0_217,1,0_42,0_43,0
0_218,1,0_40,0_43,0
0_219,1,0_190,0_44,0
0_220,1,0_8,0_44,0
0_221,2,0_57,0_45,0
0_222,1,0_8,0_47,0
0_223,1,0_47,0_49,0
0_224,1,0_47,0_50,0
0_225,1,0_47,0_51,0
0_226,1,0_47,0_52,0
0_227,1,0_171,0_52,0
0_228,1,0_51,0_53,0
0_230,1,0_229,0_53,0
0_231,1,0_50,0_54,0
0_233,1,0_232,0_54,0
0_234,1,0_49,0_55,0
0_236,1,0_235,0_55,0
0_237,2,0_63,0_56,0
0_238,1,0_190,0_58,0
0_239,2,0_57,0_58,0
0_240,1,0_121,0_58,1
0_241,2,0_124,0_58,1
0_243,1,0_242,0_59,0
0_244,2,0_57,0_59,0
0_245,1,0_122,0_59,1
0_246,2,0_124,0_59,1
0_249,1,0_59,0_60,0
0_251,1,0_250,0_60,0
0_252,1,0_60,0_62,0
0_253,2,0_74,0_62,0
0_254,2,0_131,0_62,0
0_257,1,0_59,0_65,0
0_258,1,0_166,0_65,0
0_259,1,0_186,0_65,0
0_260,1,0_65,0_66,0
0_261,1,0_5,0_67,0
0_262,1,0_190,0_67,0
0_263,1,0_66,0_67,0
0_264,1,0_67,0_68,0
0_265,1,0_68,0_69,0
0_266,1,0_69,0_70,0
0_267,1,0_70,0_71,0
0_268,1,0_71,0_72,0
0_269,1,0_47,0_72,0
0_270,1,0_72,0_73,0
0_271,2,0_101,0_73,0
0_272,2,0_87,0_73,0
0_273,1,0_59,0_75,0
0_276,1,0_75,0_76,0
0_278,1,0_277,0_76,0
0_281,1,0_59,0_77,0
0_283,1,0_282,0_77,0
0_284,1,0_186,0_77,0
0_285,1,0_77,0_78,0
0_286,1,0_1,0_79,0
0_287,1,0_190,0_79,0
0_288,1,0_78,0_79,0
0_289,1,0_79,0_80,0
0_290,1,0_76,0_81,0
0_291,1,0_80,0_82,0
0_292,1,0_81,0_82,0
0_293,1,0_82,0_83,0
0_296,1,0_82,0_84,0
0_298,1,0_297,0_84,0
0_300,1,0_299,0_84,0
0_301,1,0_83,0_85,0
0_302,1,0_84,0_85,0
0_303,1,0_85,0_86,0
0_304,2,0_101,0_86,0
0_305,2,0_93,0_86,0
