node_id,node_name,node_type,line_num,rtl_name,op_type,bitwidth,direction,if_type,array_size
0_1,cnt_1,1,0,not_exist,not_exist,64,0,0,0
0_2,tmp_begin_1,1,0,not_exist,not_exist,64,0,0,0
0_3,tmp_end_1,1,0,not_exist,not_exist,64,0,0,0
0_4,edges,1,0,not_exist,not_exist,128,0,1,2048
0_5,level,1,0,not_exist,not_exist,8,2,1,256
0_6,zext_ln24_2,1,0,not_exist,not_exist,4,0,0,0
0_7,cnt_6_out,1,0,not_exist,not_exist,64,1,0,0
1_1,nodes,1,0,not_exist,not_exist,256,0,1,128
1_2,edges,1,0,not_exist,not_exist,128,0,1,2048
1_3,starting_node,1,0,not_exist,not_exist,64,0,0,0
1_4,level,1,0,not_exist,not_exist,8,2,1,256
1_5,level_counts_0,1,0,not_exist,not_exist,128,2,1,3
1_6,level_counts_1,1,0,not_exist,not_exist,128,2,1,3
2_1,cnt,1,0,not_exist,not_exist,64,0,0,0
2_2,tmp_begin,1,0,not_exist,not_exist,64,0,0,0
2_3,tmp_end,1,0,not_exist,not_exist,64,0,0,0
2_4,edges,1,0,not_exist,not_exist,128,0,1,2048
2_5,level,1,0,not_exist,not_exist,8,2,1,256
2_6,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
2_7,cnt_4_out,1,0,not_exist,not_exist,64,1,0,0
3_1,cnt_3,1,0,not_exist,not_exist,64,0,0,0
3_2,tmp_begin_2,1,0,not_exist,not_exist,64,0,0,0
3_3,tmp_end_2,1,0,not_exist,not_exist,64,0,0,0
3_4,edges,1,0,not_exist,not_exist,128,0,1,2048
3_5,level,1,0,not_exist,not_exist,8,2,1,256
3_6,zext_ln24,1,0,not_exist,not_exist,4,0,0,0
3_7,cnt_10_out,1,0,not_exist,not_exist,64,1,0,0
4_1,cnt_7,1,0,not_exist,not_exist,64,0,0,0
4_2,tmp_begin_3,1,0,not_exist,not_exist,64,0,0,0
4_3,tmp_end_3,1,0,not_exist,not_exist,64,0,0,0
4_4,edges,1,0,not_exist,not_exist,128,0,1,2048
4_5,level,1,0,not_exist,not_exist,8,2,1,256
4_6,zext_ln24_2,1,0,not_exist,not_exist,4,0,0,0
4_7,cnt_14_out,1,0,not_exist,not_exist,64,1,0,0
