edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_113,1,0_112,0_9,0
0_116,1,0_5,0_10,0
0_118,1,0_117,0_11,0
0_119,1,0_6,0_29,0
0_121,1,0_120,0_29,0
0_122,1,0_10,0_29,0
0_124,1,0_123,0_30,0
0_125,1,0_29,0_30,0
0_126,1,0_7,0_31,0
0_127,1,0_120,0_31,0
0_128,1,0_120,0_31,0
0_129,1,0_117,0_32,0
0_130,1,0_31,0_32,0
0_131,1,0_120,0_33,0
0_132,1,0_9,0_33,0
0_133,2,0_42,0_34,0
0_134,1,0_9,0_36,0
0_135,1,0_36,0_38,0
0_136,1,0_36,0_39,0
0_137,1,0_117,0_39,0
0_138,1,0_38,0_40,0
0_140,1,0_139,0_40,0
0_141,2,0_49,0_41,0
0_142,1,0_120,0_43,0
0_143,2,0_42,0_43,0
0_144,1,0_85,0_43,1
0_145,2,0_87,0_43,1
0_147,1,0_146,0_44,0
0_148,2,0_42,0_44,0
0_149,1,0_47,0_44,1
0_150,2,0_87,0_44,1
0_151,1,0_44,0_45,0
0_153,1,0_152,0_45,0
0_154,1,0_44,0_47,0
0_156,1,0_155,0_47,0
0_157,1,0_45,0_48,0
0_158,2,0_59,0_48,0
0_159,2,0_93,0_48,0
0_160,1,0_44,0_50,0
0_161,1,0_44,0_51,0
0_162,1,0_6,0_53,0
0_163,1,0_120,0_53,0
0_164,1,0_50,0_53,0
0_165,1,0_53,0_54,0
0_166,1,0_54,0_55,0
0_167,1,0_55,0_56,0
0_168,1,0_56,0_57,0
0_169,1,0_36,0_57,0
0_170,1,0_57,0_58,0
0_171,2,0_87,0_58,0
0_172,2,0_80,0_58,0
0_175,1,0_44,0_60,0
0_177,1,0_176,0_60,0
0_180,1,0_60,0_61,0
0_182,1,0_181,0_61,0
0_185,1,0_44,0_62,0
0_186,1,0_112,0_62,0
0_188,1,0_187,0_62,0
0_189,1,0_62,0_63,0
0_190,1,0_1,0_64,0
0_191,1,0_120,0_64,0
0_192,1,0_63,0_64,0
0_193,1,0_64,0_65,0
0_194,1,0_61,0_66,0
0_195,1,0_65,0_67,0
0_196,1,0_66,0_67,0
0_197,1,0_67,0_68,0
0_198,1,0_2,0_69,0
0_199,1,0_120,0_69,0
0_200,1,0_63,0_69,0
0_201,1,0_69,0_70,0
0_202,1,0_61,0_71,0
0_203,1,0_70,0_72,0
0_204,1,0_71,0_72,0
0_205,1,0_72,0_73,0
0_208,1,0_68,0_74,0
0_209,1,0_73,0_74,0
0_210,1,0_51,0_74,0
0_213,1,0_67,0_75,0
0_215,1,0_214,0_75,0
0_217,1,0_216,0_75,0
0_219,1,0_72,0_76,0
0_220,1,0_214,0_76,0
0_221,1,0_216,0_76,0
0_223,1,0_75,0_77,0
0_224,1,0_76,0_77,0
0_225,1,0_51,0_77,0
0_226,1,0_74,0_78,0
0_227,1,0_77,0_78,0
0_228,1,0_78,0_79,0
0_229,2,0_87,0_79,0
0_230,2,0_84,0_79,0
0_232,1,0_231,0_81,0
0_233,1,0_43,0_81,0
0_234,1,0_74,0_81,0
0_235,1,0_77,0_81,0
0_236,1,0_3,0_81,0
0_237,1,0_4,0_81,0
0_238,1,0_6,0_81,0
0_239,1,0_40,0_81,0
0_240,1,0_11,0_81,0
0_241,1,0_11,0_82,0
0_242,2,0_87,0_83,0
0_243,1,0_82,0_85,0
0_244,2,0_84,0_85,0
0_245,1,0_43,0_85,0
0_246,2,0_59,0_85,0
0_247,1,0_43,0_85,0
0_248,2,0_80,0_85,0
0_249,2,0_49,0_86,0
0_250,1,0_39,0_88,0
0_251,1,0_88,0_89,0
0_253,1,0_252,0_89,0
0_254,1,0_39,0_90,0
0_256,1,0_255,0_90,0
0_259,1,0_89,0_91,0
0_261,1,0_260,0_91,0
0_262,1,0_91,0_92,0
0_263,2,0_97,0_92,0
0_264,2,0_101,0_92,0
0_265,1,0_7,0_94,0
0_266,1,0_120,0_94,0
0_267,1,0_90,0_94,0
0_268,1,0_43,0_95,0
0_269,1,0_94,0_95,0
0_270,2,0_106,0_96,0
0_271,1,0_8,0_98,0
0_272,1,0_120,0_98,0
0_273,1,0_90,0_98,0
0_274,1,0_43,0_99,0
0_275,1,0_98,0_99,0
0_276,2,0_106,0_100,0
0_277,1,0_43,0_102,0
0_278,1,0_120,0_102,0
0_279,1,0_39,0_103,0
0_281,1,0_280,0_103,0
0_282,1,0_102,0_104,0
0_283,1,0_103,0_104,0
0_284,1,0_104,0_105,0
0_285,2,0_111,0_105,0
0_286,2,0_109,0_105,0
0_287,1,0_39,0_107,0
0_288,1,0_9,0_107,0
0_289,2,0_42,0_108,0
0_482,2,0_35,0_42,0
0_483,2,0_42,0_49,0
0_484,2,0_49,0_93,0
0_485,2,0_49,0_59,0
0_486,2,0_59,0_80,0
0_487,2,0_59,0_87,0
0_488,2,0_80,0_84,0
0_489,2,0_80,0_87,0
0_490,2,0_84,0_87,0
0_491,2,0_87,0_49,1
0_492,2,0_93,0_101,0
0_493,2,0_93,0_97,0
0_494,2,0_97,0_106,0
